season,method,week,m,active_count,elim_pred
25,professional_bottom_two,1,0,13,
25,professional_bottom_two,2,2,13,Barbara Corcoran;Derek Fisher
25,professional_bottom_two,3,0,11,
25,professional_bottom_two,4,1,11,Debbie Gibson
25,professional_bottom_two,5,1,10,Drew Scott
25,professional_bottom_two,6,1,9,Frankie Muniz
25,professional_bottom_two,7,2,8,Lindsey Stirling;Nick Lachey
25,professional_bottom_two,8,1,6,Nikki Bella
25,professional_bottom_two,9,1,5,Sasha Pieterse
25,professional_bottom_two,10,1,4,Terrell Owens
