season,method,week,m,active_count,elim_pred
34,professional_bottom_two,1,0,14,
34,professional_bottom_two,2,2,14,Andy Richter;Baron Davis
34,professional_bottom_two,3,1,12,Corey Feldman
34,professional_bottom_two,4,1,11,Danielle Fishel
34,professional_bottom_two,5,0,10,
34,professional_bottom_two,6,1,10,Dylan Efron
34,professional_bottom_two,7,1,9,Elaine Hendrix
34,professional_bottom_two,8,1,8,Hilaria Baldwin
34,professional_bottom_two,9,1,7,Jen Affleck
34,professional_bottom_two,10,1,6,Jordan Chiles
34,professional_bottom_two,11,0,5,
