season,method,week,m,active_count,elim_pred
23,professional_bottom_two,1,0,13,
23,professional_bottom_two,2,1,13,Amber Rose
23,professional_bottom_two,3,1,12,Babyface
23,professional_bottom_two,4,2,11,Jake T. Austin;Calvin Johnson Jr.
23,professional_bottom_two,5,0,9,
23,professional_bottom_two,6,1,9,James Hinchcliffe
23,professional_bottom_two,7,1,8,Laurie Hernandez
23,professional_bottom_two,8,1,7,Marilu Henner
23,professional_bottom_two,9,1,6,Maureen McCormick
23,professional_bottom_two,10,1,5,Rick Perry
23,professional_bottom_two,11,1,4,Ryan Lochte
