season,method,week,m,active_count,elim_pred
31,professional_bottom_two,1,1,16,Cheryl Ladd
31,professional_bottom_two,2,1,15,Daniel Durant
31,professional_bottom_two,3,1,14,Charli D'Amelio
31,professional_bottom_two,4,1,13,Heidi D'Amelio
31,professional_bottom_two,5,1,12,Jason Lewis
31,professional_bottom_two,6,1,11,Jessie James Decker
31,professional_bottom_two,7,1,10,Jordin Sparks
31,professional_bottom_two,8,2,9,Joseph Baena;Sam Champion
31,professional_bottom_two,9,2,7,Selma Blair;Shangela
31,professional_bottom_two,10,0,5,
