season,method,week,m,active_count,elim_pred
19,professional_bottom_two,1,1,13,Antonio Sabato Jr.
19,professional_bottom_two,2,1,12,Alfonso Ribeiro
19,professional_bottom_two,3,1,11,Betsey Johnson
19,professional_bottom_two,4,1,10,Bethany Mota
19,professional_bottom_two,5,0,9,
19,professional_bottom_two,6,1,9,Jonathan Bennett
19,professional_bottom_two,7,1,8,Lea Thompson
19,professional_bottom_two,8,1,7,Lolo Jones
19,professional_bottom_two,9,1,6,Michael Waltrip
19,professional_bottom_two,10,1,5,Randy Couture
19,professional_bottom_two,11,1,4,Janel Parrish
