season,method,week,m,active_count,elim_pred
20,professional_bottom_two,1,0,12,
20,professional_bottom_two,2,1,12,Charlotte McKinney
20,professional_bottom_two,3,1,11,Michael Sam
20,professional_bottom_two,4,1,10,Chris Soules
20,professional_bottom_two,5,1,9,Nastia Liukin
20,professional_bottom_two,6,1,8,Patti LaBelle
20,professional_bottom_two,7,1,7,Redfoo
20,professional_bottom_two,8,2,6,Noah Galloway;Robert Herjavec
20,professional_bottom_two,9,1,4,Rumer Willis
20,professional_bottom_two,10,0,3,
