season,method,week,m,active_count,elim_pred
21,professional_bottom_two,1,0,13,
21,professional_bottom_two,2,2,13,Alexa PenaVega;Andy Grammer
21,professional_bottom_two,3,0,11,
21,professional_bottom_two,4,1,11,Alek Skarlatos
21,professional_bottom_two,5,0,10,
21,professional_bottom_two,6,1,10,Carlos PenaVega
21,professional_bottom_two,7,1,9,Chaka Khan
21,professional_bottom_two,8,1,8,Gary Busey
21,professional_bottom_two,9,1,7,Hayes Grier
21,professional_bottom_two,10,0,6,
21,professional_bottom_two,11,1,6,Kim Zolciak-Biermann
