season,week,celebrity_name,ballroom_partner,celebrity_industry,age,results,placement,elim_week,J_total,active,J_sum_week,J_pct,eliminated,contestant_id,p_est
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,20.0,True,109.0,0.1834862385321101,False,1_John O'Hurley,0.459008024271858
1,1,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,20.0,True,109.0,0.1834862385321101,False,1_John O'Hurley,0.459008024271858
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,26.0,True,121.0,0.2148760330578512,False,1_John O'Hurley,0.4586961842741096
1,2,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,26.0,True,121.0,0.2148760330578512,False,1_John O'Hurley,0.4586961842741096
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,24.0,True,106.0,0.2264150943396226,False,1_John O'Hurley,0.4620469696651544
1,3,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,24.0,True,106.0,0.2264150943396226,False,1_John O'Hurley,0.4620469696651544
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,21.0,True,92.0,0.2282608695652173,False,1_John O'Hurley,0.4728292081204562
1,4,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,21.0,True,92.0,0.2282608695652173,False,1_John O'Hurley,0.4728292081204562
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,73.0,0.3698630136986301,False,1_John O'Hurley,0.4794847161887938
1,5,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,73.0,0.3698630136986301,False,1_John O'Hurley,0.4794847161887938
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,54.5,0.4954128440366973,False,1_John O'Hurley,0.4999999831072935
1,6,John O'Hurley,Charlotte Jorgensen,Actor/Actress,50,2nd Place,2,,27.0,True,54.5,0.4954128440366973,False,1_John O'Hurley,0.4999999831072935
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,13.0,True,109.0,0.1192660550458715,False,1_Kelly Monaco,0.4590080426346519
1,1,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,13.0,True,109.0,0.1192660550458715,False,1_Kelly Monaco,0.4590080426346519
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,17.0,True,121.0,0.140495867768595,False,1_Kelly Monaco,0.4586961568988906
1,2,Kelly Monaco,Alec Mazo,Actor/Actress,29,1st Place,1,,17.0,True,121.0,0.140495867768595,False,1_Kelly Monaco,0.4586961568988906
