v,success,objective,max_xi,message
0.0,True,0.29151355190302825,0.001197761767355831,
0.01,True,0.2712882984247905,0.0011886277386787944,
0.02,True,0.2524238381820368,0.0011757611013457395,
0.03,True,0.23491955824456145,0.0011686722076344515,
0.04,True,0.2187761934903952,0.0011473144601705449,
0.05,True,0.20399245124742238,0.0011473719799758786,
0.06,True,0.19056942515319544,0.0011328630852752719,
0.07,True,0.17850680183338247,0.0011259845865362618,
0.08,True,0.1678043914567929,0.0011136260265378892,
0.09,True,0.1584625315063524,0.0011124225503903122,
0.1,True,0.15050930242140825,0.0010881013675455766,
0.11,True,0.14476420086118072,0.0010679224089208859,
0.12,True,0.14171759329973163,0.001036162664739787,
0.13,True,0.1408842238941412,0.0010392137912721316,
0.14,True,0.14057076376129246,0.0010386029737163617,
0.15,True,0.14077745024686675,0.001037972560761109,
0.16,True,0.14150419333662587,0.0010359388139847933,
0.17,True,0.1427508551127802,0.0010361290290130383,
0.18,True,0.14451749434235148,0.0010366166835459741,
0.19,True,0.14680411734160542,0.00103778387366647,
0.2,True,0.14961098726957767,0.001038573755553457,
