season,week,xi
1,1,2.365119430135013e-07
1,2,2.3651194301354522e-07
1,3,2.3651194301340403e-07
1,4,2.3651194301350933e-07
1,5,2.3651194301344808e-07
1,6,2.36511943013581e-07
2,1,3.090992947463746e-07
2,2,3.090992947463459e-07
2,3,3.090992947464867e-07
2,4,3.090992947463262e-07
2,5,3.090992947464227e-07
2,6,3.0909929474633784e-07
2,7,3.0909929474630576e-07
2,8,3.0909929474634107e-07
3,1,2.82489745317625e-07
3,2,2.824897453178578e-07
3,3,2.824897453178056e-07
3,4,2.8248974531764843e-07
3,5,2.824897453175532e-07
3,6,2.82489745317722e-07
3,7,2.824897453176e-07
3,8,2.8248974531762577e-07
3,9,2.824897453176159e-07
3,10,2.824897453176176e-07
4,1,3.371043905264352e-07
4,2,3.37104390526673e-07
4,3,3.371043905266619e-07
4,4,3.371043905264736e-07
4,5,3.3710439052658435e-07
4,6,3.3710439052659484e-07
4,7,3.371043905266297e-07
4,8,3.3710439052669706e-07
4,9,3.371043905265954e-07
4,10,3.3710439052654634e-07
5,1,3.387350550540312e-07
5,2,3.387350550543423e-07
5,3,3.3873505505414085e-07
5,4,3.3873505505414646e-07
5,5,3.3873505505403677e-07
5,6,3.387350550540223e-07
5,7,3.3873505505405064e-07
5,8,3.387350550541512e-07
5,9,3.387350550542131e-07
5,10,3.3873505505406086e-07
6,1,3.494003463604525e-07
6,2,3.4940034636051467e-07
6,3,3.494003463604349e-07
6,4,3.4940034636036294e-07
6,5,3.4940034636054786e-07
6,6,3.494003463604543e-07
6,7,3.494003463603927e-07
6,8,3.4940034636038814e-07
6,9,3.49400346360497e-07
6,10,3.494003463606159e-07
7,1,3.2663356082265074e-07
7,2,3.2663356082271384e-07
7,3,3.266335608227037e-07
7,4,3.2663356082275545e-07
7,5,3.2663356082262527e-07
7,6,3.266335608229292e-07
7,7,3.2663356082271564e-07
7,8,3.266335608228577e-07
7,9,3.2663356082287907e-07
7,10,3.266335608227434e-07
8,1,3.2006659185094884e-07
8,2,3.2006659185091845e-07
8,3,3.200665918509302e-07
8,4,3.200665918510885e-07
8,5,3.2006659185093216e-07
8,6,3.20066591851005e-07
8,7,3.200665918510252e-07
8,8,3.2006659185099627e-07
8,9,3.200665918510926e-07
8,10,3.200665918509766e-07
8,11,3.200665918509449e-07
9,1,3.3244238607417754e-07
9,2,3.3244238607427886e-07
9,3,3.324423860742472e-07
9,4,3.324423860741354e-07
9,5,3.324423860744205e-07
9,6,3.324423860743555e-07
9,7,3.3244238607421073e-07
9,8,3.3244238607428426e-07
9,9,3.3244238607419146e-07
9,10,3.3244238607422587e-07
10,1,3.37105437760499e-07
10,2,3.3710543776045135e-07
10,3,3.3710543776048984e-07
10,4,3.3710543776056486e-07
10,5,3.3710543776051864e-07
10,6,3.3710543776044177e-07
10,7,3.3710543776046173e-07
10,8,3.371054377604829e-07
10,9,3.371054377605044e-07
10,10,3.371054377604088e-07
11,1,3.38730233454011e-07
11,2,3.387302334540746e-07
11,3,3.387302334539812e-07
11,4,3.3873023345388834e-07
11,5,3.3873023345398744e-07
11,6,3.3873023345388834e-07
11,7,3.3873023345400576e-07
11,8,3.3873023345396753e-07
11,9,3.387302334539789e-07
11,10,3.3873023345392005e-07
12,1,3.371078795518149e-07
12,2,3.371078795518978e-07
12,3,3.371078795518725e-07
12,4,3.3710787955183965e-07
12,5,3.3710787955183605e-07
12,6,3.3710787955185696e-07
12,7,3.3710787955186697e-07
12,8,3.37107879551844e-07
12,9,3.371078795518624e-07
12,10,3.371078795520022e-07
13,1,3.387242116592827e-07
13,2,3.387242116593504e-07
13,3,3.3872421165937326e-07
13,4,3.3872421165928326e-07
13,5,3.387242116593151e-07
13,6,3.387242116593192e-07
13,7,3.387242116593501e-07
13,8,3.387242116592957e-07
13,9,3.387242116593584e-07
13,10,3.387242116593608e-07
14,1,3.193613436024779e-07
14,2,3.193613436025898e-07
14,3,3.193613436024749e-07
14,4,3.193613436025339e-07
14,5,3.1936134360241414e-07
14,6,3.193613436023286e-07
14,7,3.193613436023447e-07
14,8,3.1936134360248514e-07
14,9,3.1936134360256105e-07
14,10,3.193613436023639e-07
15,1,3.5829105160053007e-07
15,2,3.582910516006133e-07
15,3,3.582910516005757e-07
15,4,3.5829105160050794e-07
15,5,3.582910516007052e-07
15,6,3.5829105160053637e-07
15,7,3.5829105160058825e-07
15,8,3.5829105160050646e-07
15,9,3.5829105160060117e-07
15,10,3.5829105160064664e-07
16,1,6.351267065667035e-07
16,2,6.351267065667065e-07
16,3,6.351267065668191e-07
16,4,6.351267065667624e-07
16,5,6.35126706566639e-07
16,6,6.351267065667395e-07
16,7,6.351267065668209e-07
16,8,6.351267065667323e-07
16,9,6.351267065666583e-07
16,10,6.351267065666537e-07
17,1,6.351961061016642e-07
17,2,6.351961061017504e-07
17,3,6.351961061015867e-07
17,4,6.351961061017968e-07
17,5,6.35196106101783e-07
17,6,6.351961061016558e-07
17,7,6.351961061016665e-07
17,8,6.351961061015412e-07
17,9,6.351961061016456e-07
17,10,6.351961061019191e-07
17,11,6.351961061016925e-07
18,1,3.493538886509028e-07
18,2,3.4935388865084684e-07
18,3,3.493538886510185e-07
18,4,3.4935388865102053e-07
18,5,3.493538886507727e-07
18,6,3.493538886507915e-07
18,7,3.49353888650822e-07
18,8,3.4935388865083075e-07
18,9,3.493538886510099e-07
18,10,3.4935388865078156e-07
19,1,6.368272233180043e-07
19,2,6.368272233179469e-07
19,3,6.368272233180822e-07
19,4,6.368272233181461e-07
19,5,6.368272233181185e-07
19,6,6.36827223317986e-07
19,7,6.368272233178985e-07
19,8,6.368272233179954e-07
19,9,6.368272233178985e-07
19,10,6.368272233178985e-07
19,11,6.368272233179363e-07
20,1,3.193552727632351e-07
20,2,3.193552727633137e-07
20,3,3.1935527276321795e-07
20,4,3.1935527276331615e-07
20,5,3.193552727631844e-07
20,6,3.193552727632134e-07
20,7,3.1935527276312726e-07
20,8,3.193552727631472e-07
20,9,3.193552727631161e-07
20,10,3.193552727631856e-07
21,1,3.525914105158862e-07
21,2,3.5259141051576163e-07
21,3,3.525914105159536e-07
21,4,3.525914105157561e-07
21,5,3.525914105155953e-07
21,6,3.525914105158895e-07
21,7,3.5259141051586677e-07
21,8,3.5259141051571965e-07
21,9,3.5259141051575274e-07
21,10,3.5259141051571716e-07
21,11,3.525914105158079e-07
22,1,3.4923138116508957e-07
22,2,3.492313811651377e-07
22,3,3.492313811651032e-07
22,4,3.492313811650743e-07
22,5,3.492313811650707e-07
22,6,3.492313811651837e-07
22,7,3.492313811650813e-07
22,8,3.492313811650878e-07
22,9,3.4923138116523584e-07
22,10,3.492313811650541e-07
23,1,3.637399415870277e-07
23,2,3.6373994158699754e-07
23,3,3.637399415871032e-07
23,4,3.637399415869885e-07
23,5,3.637399415869855e-07
23,6,3.637399415869588e-07
23,7,3.637399415871154e-07
23,8,3.637399415870675e-07
23,9,3.637399415870236e-07
23,10,3.637399415870773e-07
23,11,3.637399415869602e-07
24,1,3.543258500344081e-07
24,2,3.543258500348346e-07
24,3,3.543258500346626e-07
24,4,3.5432585003462083e-07
24,5,3.5432585003466366e-07
24,6,3.543258500344694e-07
24,7,3.543258500345661e-07
24,8,3.5432585003446493e-07
24,9,3.543258500344953e-07
24,10,3.5432585003444883e-07
25,1,4.883411675200322e-07
25,2,4.883411675200479e-07
25,3,4.883411675201038e-07
25,4,4.883411675201333e-07
25,5,4.883411675200342e-07
25,6,4.883411675199396e-07
25,7,4.883411675199211e-07
25,8,4.883411675200259e-07
25,9,4.883411675199992e-07
25,10,4.883411675199233e-07
26,1,0.0
26,2,2.0037354740370351e-19
26,3,2.169355488854053e-19
26,4,1.0381413176687521e-19
27,1,3.9012023365017614e-07
27,2,3.901202336502895e-07
27,3,3.901202336501819e-07
27,4,3.901202336503503e-07
27,5,3.9012023365017577e-07
27,6,3.901202336501671e-07
27,7,3.9012023365024305e-07
27,8,3.901202336502332e-07
27,9,3.901202336502399e-07
28,1,3.7657858770625846e-07
28,2,3.7657858770628806e-07
28,3,3.765785877062028e-07
28,4,3.765785877063162e-07
28,5,3.7657858770641167e-07
28,6,3.76578587706296e-07
28,7,3.765785877062564e-07
28,8,3.7657858770643586e-07
28,9,3.765785877062576e-07
28,10,3.7657858770624973e-07
28,11,3.765785877061635e-07
29,1,3.714840193219688e-07
29,2,3.714840193223504e-07
29,3,3.7148401932202997e-07
29,4,3.7148401932208333e-07
29,5,3.7148401932204437e-07
29,6,3.714840193221096e-07
29,7,3.7148401932208963e-07
29,8,3.7148401932199683e-07
29,9,3.7148401932211494e-07
29,10,3.714840193220405e-07
29,11,3.714840193220497e-07
30,1,3.737062232103734e-07
30,2,3.7370622321047026e-07
30,3,3.737062232103387e-07
30,4,3.73706223210532e-07
30,5,3.737062232104634e-07
30,6,3.7370622321040435e-07
30,7,3.737062232103916e-07
30,8,3.737062232103316e-07
30,9,3.737062232104563e-07
30,10,3.737062232105192e-07
31,1,3.7178134840921197e-07
31,2,3.717813484092707e-07
31,3,3.717813484093872e-07
31,4,3.717813484092633e-07
31,5,3.7178134840921515e-07
31,6,3.7178134840928984e-07
31,7,3.717813484092185e-07
31,8,3.7178134840929657e-07
31,9,3.7178134840934945e-07
31,10,3.7178134840925416e-07
32,1,6.488886262863401e-07
32,2,6.488886262863012e-07
32,3,6.488886262862517e-07
32,4,6.488886262862508e-07
32,5,6.48888626286231e-07
32,6,6.488886262862659e-07
32,7,6.488886262861962e-07
32,8,6.48888626286228e-07
32,9,6.488886262862748e-07
32,10,6.488886262861612e-07
32,11,6.488886262861534e-07
33,1,3.9979046008029394e-07
33,2,3.9979046008038664e-07
33,3,3.997904600802817e-07
33,4,3.9979046008040914e-07
33,5,3.9979046008027107e-07
33,6,3.9979046008017123e-07
33,7,3.997904600804844e-07
33,8,3.997904600802956e-07
33,9,3.997904600802947e-07
34,1,6.133556516250512e-07
34,2,6.133556516252292e-07
34,3,6.13355651625113e-07
34,4,6.133556516251136e-07
34,5,6.133556516251058e-07
34,6,6.133556516250022e-07
34,7,6.133556516250034e-07
34,8,6.133556516250808e-07
34,9,6.133556516249563e-07
34,10,6.133556516251666e-07
34,11,6.133556516251522e-07
