season,method,week,m,active_count,elim_pred
32,professional_bottom_two,1,1,14,Adrian Peterson
32,professional_bottom_two,2,1,13,Alyson Hannigan
32,professional_bottom_two,3,1,12,Barry Williams
32,professional_bottom_two,4,1,11,Charity Lawson
32,professional_bottom_two,5,1,10,Harry Jowsey
32,professional_bottom_two,6,1,9,Jamie Lynn Spears
32,professional_bottom_two,7,1,8,Jason Mraz
32,professional_bottom_two,8,1,7,Lele Pons
32,professional_bottom_two,9,1,6,Matt Walsh
32,professional_bottom_two,10,0,5,
32,professional_bottom_two,11,0,5,
