season,method,week,m,active_count,elim_pred
15,professional_bottom_two,1,1,13,Apolo Anton Ohno
15,professional_bottom_two,2,1,12,Bristol Palin
15,professional_bottom_two,3,2,11,Drew Lachey;Gilles Marini
15,professional_bottom_two,4,1,9,Helio Castroneves
15,professional_bottom_two,5,0,8,
15,professional_bottom_two,6,1,8,Joey Fatone
15,professional_bottom_two,7,0,7,
15,professional_bottom_two,8,2,7,Emmitt Smith;Kirstie Alley
15,professional_bottom_two,9,2,5,Kelly Monaco;Pamela Anderson
15,professional_bottom_two,10,0,3,
