season,week,worst,second,gap,rel_gap
1,1,0.08670577699720154,0.15241767290031888,0.06571189590311734,0.4311304237409064
1,2,0.08038944232122908,0.11622083443746321,0.03583139211623414,0.30830437838161023
1,3,0.07228262978943661,0.19274862693597583,0.12046599714653922,0.6249901701585334
1,4,0.19258591021867938,0.22253908543421838,0.029953175215539002,0.13459736817509765
1,5,0.26667949363106375,0.3288846026424159,0.06220510901135218,0.18913962074103388
1,6,0.4949413093817524,0.5050586906182477,0.010117381236495304,0.02003209017967894
2,1,0.03733209025547989,0.04189870078290017,0.00456661052742028,0.1089916976443341
2,2,0.052912836038792,0.06667200859968542,0.013759172560893415,0.20637105210834064
2,3,0.043212988955596575,0.09099396618705233,0.04778097723145575,0.5251005009852464
2,4,0.018812325537032937,0.11840885824289073,0.09959653270585779,0.8411240019015855
2,5,0.12522833384005932,0.1380920844668258,0.01286375062676648,0.0931534249514263
2,6,0.14401676742501607,0.1485559803980135,0.0045392129729974195,0.03055557212059649
2,7,0.16845087888324337,0.25309599176302633,0.08464511287978296,0.33443877277612577
2,8,0.29496946393898077,0.3488008261887198,0.053831362249739056,0.1543326684112079
3,1,0.033482445212600236,0.0549691849868908,0.021486739774290567,0.3908869993145211
3,2,0.0685271780947168,0.08222391215592428,0.013696734061207486,0.16657847701571116
3,3,0.08067478364293447,0.09046185302135737,0.0097870693784229,0.108190016582042
3,4,0.08643575773792661,0.09885747151100394,0.012421713773077325,0.1256527562683479
3,5,0.1142908854467733,0.1193934341690809,0.005102548722307601,0.042737264053243885
3,6,0.12055320592129089,0.1893105515252787,0.06875734560398782,0.3631986967974504
3,7,0.1368250035143337,0.19854700469417674,0.061722001179843056,0.3108684579498636
3,8,0.22549353434183014,0.24854035567484464,0.0230468213330145,0.09272868895048066
3,9,0.3130608609919411,0.3425052827269937,0.02944442173505263,0.08596778858597161
3,10,0.4999065596390662,0.5000934403609338,0.0001868807218676216,0.00037369160797778845
4,1,0.045303155207561494,0.05862944736947635,0.013326292161914853,0.2272969089736429
4,2,0.05811526715856062,0.07465479056627851,0.016539523407717888,0.22154671230420372
4,3,0.05363559603496958,0.08117733482581974,0.027541738790850152,0.3392786773542862
4,4,0.05296917652932302,0.06443826866507353,0.011469092135750508,0.17798572763279286
4,5,0.041930444999326036,0.07536266147751464,0.0334322164781886,0.4436177786550639
4,6,0.08736447495089006,0.10044494356018524,0.013080468609295182,0.13022525719731767
4,7,0.09150006162704058,0.11920127796172776,0.02770121633468718,0.23239026299349977
4,8,0.10859505953887164,0.17721589247683175,0.06862083293796012,0.38721602210101574
4,9,0.22590163484487616,0.25561364899076017,0.029712014145884008,0.11623797971350906
4,10,0.32401065109104726,0.33112793754239156,0.007117286451344296,0.021494068136226435
5,1,0.04496892986625802,0.05956444401233329,0.014595514146075267,0.2450373605947392
5,2,0.04499396423055707,0.06324412862846909,0.018250164397912022,0.2885669356775165
5,3,0.054527712361810116,0.0694876967917964,0.014959984429986278,0.21528968609810695
5,4,0.07866786632493723,0.08437014627577209,0.00570227995083486,0.06758646514842345
5,5,0.08621083829253132,0.09193492005656002,0.005724081764028707,0.062262323831979716
5,6,0.1088715043065225,0.11518635131952931,0.006314847013006816,0.054822875632975825
5,7,0.14732867956293746,0.16017734894748864,0.012848669384551176,0.08021527056714735
5,8,0.1767144800654301,0.1808644521776859,0.00414997211225579,0.022945205994258894
5,9,0.22704083509686962,0.23317970973767804,0.006138874640808423,0.02632679596228385
5,10,0.25487248731276113,0.36852803186760336,0.11365554455484222,0.30840406896285677
6,1,0.04375866701859426,0.04582978387373962,0.002071116855145362,0.04519150386681418
6,2,0.038672669339524755,0.048494258949187546,0.009821589609662791,0.2025309762946143
6,3,0.07198594605672949,0.0799853741055307,0.007999428048801202,0.10001113501384588
6,4,0.06411803634047222,0.08798840347067177,0.02387036713019955,0.2712899221788471
6,5,0.08927304891950315,0.09894976263450375,0.009676713715000604,0.09779420846863494
6,6,0.09336879817053469,0.1250632048171514,0.03169440664661673,0.2534271106594103
6,7,0.14076178127681638,0.15628090296573705,0.015519121688920667,0.0993027388146271
6,8,0.17775693905820467,0.18968734616285254,0.011930407104647878,0.06289511317431395
6,9,0.21337754963465394,0.25362906153036874,0.0402515118957148,0.15870228613725013
6,10,0.28725748977456844,0.338789555992495,0.05153206621792655,0.15210641918096232
7,1,0.027626407512061937,0.05043563616820715,0.022809228656145212,0.4522442936988936
7,2,0.05037474476682728,0.05893778523128349,0.00856304046445621,0.14528948501972294
7,3,0.060979131196510196,0.08646308262428783,0.02548395142777763,0.2947379465813666
7,4,0.07005644934996427,0.0932710680348301,0.023214618684865823,0.24889410161141093
7,5,0.0890452725265595,0.09926729370492833,0.010222021178368831,0.10297471399546514
7,6,0.06183443609324784,0.12419593930636852,0.06236150321312068,0.5021219176843321
7,7,0.13061973819413836,0.13621316809642928,0.0055934299022909195,0.041063797138402705
7,8,0.17216400585123165,0.17562193197595935,0.0034579261247277004,0.019689603034324047
7,9,0.19991211864994257,0.24198223041303635,0.042070111763093776,0.1738562029587249
7,10,0.31324054015234454,0.3190303736356273,0.005789833483282769,0.01814822023778678
8,1,0.03709068338414842,0.04420480099457596,0.007114117610427538,0.1609354063442217
8,2,0.037050306705156646,0.04695420326935523,0.009903896564198586,0.21092673018822974
8,3,0.019941557256774094,0.03943485221698754,0.019493294960213445,0.49431641972316626
8,4,0.02428488954453273,0.041253906870611555,0.016969017326078827,0.4113311589930216
8,5,0.062183552372906334,0.08093442514845557,0.018750872775549238,0.2316798166065315
8,6,0.057552500997740556,0.07799041665577326,0.020437915658032706,0.2620567568992438
8,7,0.09188508871128091,0.12003005467894096,0.028144965967660043,0.23448265555608402
8,8,0.13996197027075463,0.15563276887132402,0.015670798600569386,0.10069086808785033
8,9,0.15161130620801566,0.18445715542731,0.03284584921929434,0.1780676338806389
8,10,0.18288906306890595,0.2552559996279399,0.07236693655903392,0.2835072894055994
8,11,0.31803462237980973,0.33181970740368194,0.013785085023872212,0.04154390084824495
9,1,0.032878509519385625,0.032878509519385625,0.0,0.0
9,2,0.04975321464326391,0.05010578593891353,0.0003525712956496188,0.0070365385761927
