season,method,week,m,active_count,elim_pred
29,professional_bottom_two,1,0,15,
29,professional_bottom_two,2,1,15,Anne Heche
29,professional_bottom_two,3,1,14,Carole Baskin
29,professional_bottom_two,4,1,13,Charles Oakley
29,professional_bottom_two,5,1,12,Chrishell Stause
29,professional_bottom_two,6,1,11,Jeannie Mai
29,professional_bottom_two,7,1,10,Jesse Metcalfe
29,professional_bottom_two,8,1,9,AJ McLean
29,professional_bottom_two,9,1,8,Johnny Weir
29,professional_bottom_two,10,2,7,Justina Machado;Monica Aldama
29,professional_bottom_two,11,0,5,
