season,method,week,m,active_count,elim_pred
14,professional_bottom_two,1,0,12,
14,professional_bottom_two,2,1,12,Gavin DeGraw
14,professional_bottom_two,3,1,11,Gladys Knight
14,professional_bottom_two,4,1,10,Jack Wagner
14,professional_bottom_two,5,1,9,Jaleel White
14,professional_bottom_two,6,1,8,Donald Driver
14,professional_bottom_two,7,1,7,Maria Menounos
14,professional_bottom_two,8,2,6,Martina Navratilova;Melissa Gilbert
14,professional_bottom_two,9,1,4,Roshon Fegan
14,professional_bottom_two,10,0,3,
