season,week,n,p_sum,entropy,norm_entropy,variance,kl_uniform,kl_qJ,xi
1,1,421,33.99999999999999,4.777268424484307,0.7905938613140986,1.522867061679627e-05,1.2653644091980745,1.1718878909952526,7.514581305384493e-08
1,2,404,33.999999999999986,4.77667612061054,0.7959249973121858,1.5628063566573087e-05,1.22473875735061,1.1369468321986755,7.514582800137967e-08
1,3,360,33.99999999999754,4.774664570507565,0.8111757021275809,1.6719041465705178e-05,1.1114394609425906,1.243041035846908,7.514581304849381e-08
1,4,326,33.99999999999999,4.772251349521538,0.8246649344237139,1.7598637619226657e-05,1.01464603184517,1.5641605762354849,7.514581305112679e-08
1,5,288,32.99999999999999,4.745115240073592,0.8379213057760347,1.9354227649578128e-05,0.9178452400623538,1.7449120395729105,7.514581304870814e-08
1,6,261,32.99999999999999,4.742520936531926,0.8522784695498558,2.001282571918153e-05,0.8219994707907681,1.665056491983536,7.514581304905227e-08
2,7,228,31.999999999999993,4.726153313446733,0.8704830446310846,2.089867753125253e-05,0.7031923155077084,1.5883355121754494,7.044436622280162e-19
2,8,191,31.999999999999993,4.721362492321795,0.8989178794672376,2.058691039023487e-05,0.5309109357248349,1.4309679831828959,2.4936392518531692e-20
3,9,152,30.999999999999993,4.690305670786099,0.933602153021747,1.8808143327865134e-05,0.3335748500601774,1.5214813918777517,1.4438813643594389e-06
3,10,109,28.999999999999996,4.598405626270347,0.9801885815565156,1.0138117571151011e-05,0.09294225595879624,2.016200023002952,1.443881352018787e-06
8,11,37,8.999999999999998,3.601141719586271,0.9972926016889722,1.4729444159568365e-05,0.009776193057953186,0.015840131872671425,1.467787348569461e-18
