season,week,worst,second,gap,rel_gap
1,1,0.02932943353064524,0.12016331625085537,0.09083388272021013,0.7559202388404751
1,2,0.021362301456221564,0.05368592900987161,0.03232362755365005,0.6020875143597958
1,3,0.012789657349405107,0.148508831200153,0.13571917385074792,0.9138794828156191
1,4,0.12291924243932259,0.1764307766713275,0.053511534232004915,0.30330045155155344
1,5,0.18111376630201728,0.30590477875874106,0.12479101245672378,0.4079407094033765
1,6,0.4873555384530476,0.5126444615469524,0.025288923093904847,0.04933033513634999
2,1,0.00695821404956556,0.00928524585498612,0.0023270318054205595,0.2506160678740626
2,2,0.01429482455077597,0.025476225137979477,0.011181400587203507,0.43889550067346855
2,3,0.007335040794976299,0.04719524609323911,0.039860205298262806,0.8445809397733584
2,4,0.0007119962913094552,0.07076719823617439,0.07005520194486493,0.9899388938794316
2,5,0.07483545083733593,0.09555927289903705,0.02072382206170112,0.21686877089988776
2,6,0.07975415031712867,0.08618783976804958,0.006433689450920918,0.07464729906487261
2,7,0.08701010882268884,0.24076850558444193,0.1537583967617531,0.6386150729661243
2,8,0.24252043684239397,0.36876479796339845,0.12624436112100448,0.3423438511978977
3,1,0.005919431553852881,0.020442562331640195,0.014523130777787314,0.7104359298104711
3,2,0.035519477967586345,0.05601505860164477,0.020495580634058423,0.3658941210758032
3,3,0.046587034306221534,0.06202749466400155,0.015440460357780017,0.24892929242781564
3,4,0.0462940788092278,0.06476130376728347,0.018467224958055667,0.2851583257869039
3,5,0.07944109231514063,0.08860685544175527,0.009165763126614643,0.10344304716512207
3,6,0.05110775386660613,0.15793447308443115,0.10682671921782502,0.6763989972013006
3,7,0.07382904320650215,0.1872715992772627,0.11344255607076055,0.6057648704265325
3,8,0.19141289814860496,0.2441339924140301,0.05272109426542515,0.21595146888031364
3,9,0.2839576480546628,0.35550836003045266,0.07155071197578988,0.20126309257442185
3,10,0.49976639911194265,0.5002336008880574,0.0004672017761147007,0.0009339672010942173
4,1,0.013343879133146355,0.025424386127576405,0.01208050699443005,0.4751543236407585
4,2,0.02706742149189902,0.05062505323150857,0.023557631739609553,0.4653354463032445
4,3,0.01952314828993707,0.055017904711622795,0.03549475642168572,0.6451491856647766
4,4,0.01370289850534607,0.022367324874320183,0.008664426368974113,0.3873698092042155
4,5,0.005985650931588601,0.025922583140842278,0.019936932209253678,0.7690951206881108
4,6,0.036794351808434995,0.052151184414215165,0.01535683260578017,0.2944675711256572
4,7,0.03267506303106938,0.06329439403372694,0.03061933100265756,0.4837605521010565
4,8,0.0386377421438952,0.13144474734869224,0.09280700520479704,0.7060533576028086
4,9,0.19291543806757538,0.26274148425997845,0.06982604619240307,0.2657595026878638
4,10,0.3101206854987984,0.32743272190932626,0.017312036410527865,0.05287204134509797
5,1,0.01582192818988213,0.03194815318724293,0.0161262249973608,0.5047623536436556
5,2,0.013777047255597339,0.03227163986891878,0.018494592613321443,0.5730911936437979
5,3,0.019859465963017447,0.03640777710799855,0.016548311144981103,0.45452681980261705
5,4,0.044521653944253003,0.05303344836747753,0.008511794423224528,0.16049860390455656
