season,week,n,p_sum,entropy,norm_entropy,variance,kl_uniform,kl_qJ,xi
1,1,421,33.99999999999998,6.030222987031191,0.9979462848409363,1.6018586917455592e-07,0.012409846651189937,0.04218474814655083,9.157587044682736e-07
1,2,404,33.99999999999998,5.98753963466431,0.9976880046490714,1.921327184286281e-07,0.01387524329684009,0.08814023054753252,9.15758704468304e-07
1,3,360,33.999999999999986,5.86736155274635,0.9968158091322099,3.3274948710373237e-07,0.018742478703805965,0.15840284238278782,9.157587044683248e-07
1,4,326,33.999999999999986,5.755412454613189,0.9945592733586571,8.057134934710086e-07,0.031484926753519105,0.35230065945959355,9.157587044682844e-07
1,5,288,32.999999999999986,5.641129929402432,0.9961450285923609,6.813796226224103e-07,0.021830550733514364,0.4775939721586591,9.157587044683044e-07
1,6,261,32.99999999999999,5.5310950944314765,0.9939931367944611,1.4221573279073332e-06,0.033425312891217196,0.5615504713509476,9.157587044682812e-07
2,7,228,31.999999999999986,5.412547497992524,0.996906048700909,6.853059161140221e-07,0.0167981309619174,0.6554408092606588,9.529600921077318e-07
2,8,191,31.999999999999993,5.23016429961281,0.9957905602713372,1.306306343407061e-06,0.022109128433819514,0.6852618689705462,9.529600921077196e-07
3,9,152,30.999999999999996,5.002107915245456,0.9956661776667506,1.919074092075293e-06,0.021772605600820505,0.8908388479257867,9.20579059346328e-07
3,10,109,29.000000000000004,4.657240867545179,0.9927298048364389,5.8300699482267e-06,0.03410701468396482,1.8967927816463883,9.205790593462932e-07
8,11,37,8.999999999999995,3.601141719586849,0.9972926016891321,1.4729444158873684e-05,0.009776193057375426,0.015840121519082054,9.471077706180796e-07
