season,week,elim,non_elim,p_e,p_i,q_e,q_i,lhs
1,2,Trista Sutter,Evander Holyfield,0.012039832796981443,0.0,0.15702479338842976,0.11570247933884298,0.02668107342328411
1,2,Trista Sutter,Kelly Monaco,0.012039832796981443,0.0,0.15702479338842976,0.14049586776859505,0.014284379208408077
1,4,Rachel Hunter,Joey McIntyre,1.0,0.0,0.2717391304347826,0.21739130434782608,0.5271739130434783
1,4,Rachel Hunter,John O'Hurley,1.0,0.0,0.2717391304347826,0.22826086956521738,0.5217391304347826
1,4,Rachel Hunter,Kelly Monaco,1.0,0.0,0.2717391304347826,0.2826086956521739,0.4945652173913043
2,1,Kenny Mayne,Master P,0.0,0.0,0.06666666666666667,0.06153846153846154,0.002564102564102562
2,2,Tatum O'Neal,Master P,0.1111111111111111,0.1111111111111111,0.085,0.08,0.0025000000000000022
2,3,Giselle Fernandez,Jerry Rice,0.125,0.125,0.12087912087912088,0.1043956043956044,0.00824175824175824
2,3,Giselle Fernandez,Master P,0.125,0.125,0.12087912087912088,0.07692307692307693,0.021978021978021976
2,7,Lisa Rinna,Jerry Rice,0.25,0.25,0.25980392156862747,0.20098039215686275,0.02941176470588236
3,2,Shanna Moakler,Emmitt Smith,0.49752024569795356,0.0,0.09565217391304348,0.10434782608695652,0.24441229676202025
3,2,Shanna Moakler,Harry Hamlin,0.49752024569795356,0.0,0.09565217391304348,0.09130434782608696,0.25093403589245505
3,2,Shanna Moakler,Jerry Springer,0.49752024569795356,0.0,0.09565217391304348,0.08260869565217391,0.25528186197941155
3,2,Shanna Moakler,Joey Lawrence,0.49752024569795356,0.0,0.09565217391304348,0.12608695652173912,0.23354273154462896
3,2,Shanna Moakler,Mario Lopez,0.49752024569795356,0.0,0.09565217391304348,0.09130434782608696,0.25093403589245505
3,2,Shanna Moakler,Monique Coleman,0.49752024569795356,0.0,0.09565217391304348,0.11304347826086956,0.24006447067506373
3,2,Shanna Moakler,Sara Evans,0.49752024569795356,0.0,0.09565217391304348,0.09130434782608696,0.25093403589245505
3,2,Shanna Moakler,Willa Ford,0.49752024569795356,0.0,0.09565217391304348,0.1,0.2465862098054985
3,3,Harry Hamlin,Emmitt Smith,0.0,0.0,0.10628019323671498,0.09178743961352658,0.0072463768115942
3,3,Harry Hamlin,Jerry Springer,0.0,0.0,0.10628019323671498,0.10144927536231885,0.0024154589371980645
3,4,Vivica A. Fox,Emmitt Smith,1.0,0.0,0.12121212121212122,0.12121212121212122,0.5
3,4,Vivica A. Fox,Jerry Springer,1.0,0.0,0.12121212121212122,0.1111111111111111,0.5050505050505051
3,4,Vivica A. Fox,Joey Lawrence,1.0,0.0,0.12121212121212122,0.13636363636363635,0.49242424242424243
3,4,Vivica A. Fox,Mario Lopez,1.0,0.0,0.12121212121212122,0.14646464646464646,0.48737373737373735
3,4,Vivica A. Fox,Monique Coleman,1.0,0.0,0.12121212121212122,0.12121212121212122,0.5
3,4,Vivica A. Fox,Sara Evans,1.0,0.0,0.12121212121212122,0.10101010101010101,0.51010101010101
3,4,Vivica A. Fox,Willa Ford,1.0,0.0,0.12121212121212122,0.1414141414141414,0.4898989898989899
3,5,Willa Ford,Emmitt Smith,0.2153746335228561,0.0,0.14917127071823205,0.14917127071823205,0.10768731676142805
3,5,Willa Ford,Jerry Springer,0.2153746335228561,0.0,0.14917127071823205,0.13259668508287292,0.11597460957910762
3,5,Willa Ford,Joey Lawrence,0.2153746335228561,0.0,0.14917127071823205,0.13812154696132597,0.11321217863988109
3,5,Willa Ford,Mario Lopez,0.2153746335228561,0.0,0.14917127071823205,0.14917127071823205,0.10768731676142805
3,5,Willa Ford,Sara Evans,0.2153746335228561,0.0,0.14917127071823205,0.13259668508287292,0.11597460957910762
4,2,Paulina Porizkova,Apolo Anton Ohno,0.2151149855671834,0.0,0.08571428571428572,0.10612244897959183,0.09735341115093864
4,2,Paulina Porizkova,Billy Ray Cyrus,0.2151149855671834,0.0,0.08571428571428572,0.08571428571428572,0.1075574927835917
4,2,Paulina Porizkova,Clyde Drexler,0.2151149855671834,0.0,0.08571428571428572,0.07346938775510205,0.11367994176318352
4,2,Paulina Porizkova,Joey Fatone,0.2151149855671834,0.0,0.08571428571428572,0.09795918367346938,0.10143504380399987
4,2,Paulina Porizkova,John Ratzenberger,0.2151149855671834,0.0,0.08571428571428572,0.08571428571428572,0.1075574927835917
4,2,Paulina Porizkova,Laila Ali,0.2151149855671834,0.0,0.08571428571428572,0.11020408163265306,0.09531259482440801
4,2,Paulina Porizkova,Shandi Finnessey,0.2151149855671834,0.0,0.08571428571428572,0.08163265306122448,0.1095983091101223
4,3,Shandi Finnessey,Clyde Drexler,0.1,0.1,0.0963302752293578,0.07339449541284404,0.011467889908256881
4,3,Shandi Finnessey,John Ratzenberger,0.1,0.1,0.0963302752293578,0.09174311926605505,0.0022935779816513763
4,4,Leeza Gibbons,Clyde Drexler,0.0,0.0,0.08421052631578947,0.07894736842105263,0.0026315789473684223
4,6,Heather Mills,Apolo Anton Ohno,1.0,0.0,0.13529411764705881,0.16470588235294117,0.4852941176470588
4,6,Heather Mills,Billy Ray Cyrus,1.0,0.0,0.13529411764705881,0.12352941176470589,0.5058823529411764
4,6,Heather Mills,Ian Ziering,1.0,0.0,0.13529411764705881,0.1411764705882353,0.4970588235294118
4,6,Heather Mills,Joey Fatone,1.0,0.0,0.13529411764705881,0.1588235294117647,0.48823529411764705
4,6,Heather Mills,John Ratzenberger,1.0,0.0,0.13529411764705881,0.11176470588235295,0.5117647058823529
4,6,Heather Mills,Laila Ali,1.0,0.0,0.13529411764705881,0.16470588235294117,0.4852941176470588
4,7,John Ratzenberger,Billy Ray Cyrus,0.16666666666666666,0.16666666666666666,0.14563106796116504,0.12297734627831715,0.011326860841423946
5,2,Albert Reed,Cameron Mathison,1.0,0.0,0.08823529411764706,0.08823529411764706,0.5
5,2,Albert Reed,Floyd Mayweather Jr. ,1.0,0.0,0.08823529411764706,0.08823529411764706,0.5
5,2,Albert Reed,Helio Castroneves,1.0,0.0,0.08823529411764706,0.1134453781512605,0.48739495798319327
5,2,Albert Reed,Jane Seymour,1.0,0.0,0.08823529411764706,0.08823529411764706,0.5
5,2,Albert Reed,Jennie Garth,1.0,0.0,0.08823529411764706,0.08823529411764706,0.5
5,2,Albert Reed,Marie Osmond,1.0,0.0,0.08823529411764706,0.10084033613445378,0.49369747899159666
5,2,Albert Reed,Mark Cuban,1.0,0.0,0.08823529411764706,0.07563025210084033,0.5063025210084033
5,2,Albert Reed,Mel B,1.0,0.0,0.08823529411764706,0.09663865546218488,0.4957983193277311
5,2,Albert Reed,Sabrina Bryan,1.0,0.0,0.08823529411764706,0.1092436974789916,0.4894957983193277
5,2,Albert Reed,Wayne Newton,1.0,0.0,0.08823529411764706,0.06302521008403361,0.5126050420168067
5,4,Floyd Mayweather Jr. ,Mark Cuban,0.1111111111111111,0.1111111111111111,0.09829059829059829,0.09401709401709402,0.002136752136752136
5,6,Sabrina Bryan,Jane Seymour,0.14285714285714285,0.14285714285714285,0.1388888888888889,0.12222222222222222,0.008333333333333338
5,6,Sabrina Bryan,Marie Osmond,0.14285714285714285,0.14285714285714285,0.1388888888888889,0.12777777777777777,0.005555555555555564
5,8,Cameron Mathison,Jennie Garth,0.2,0.2,0.19391634980988592,0.19011406844106463,0.0019011406844106488
