season,method,week,m,active_count,elim_pred
8,professional_bottom_two,1,0,13,
8,professional_bottom_two,2,1,13,Belinda Carlisle
8,professional_bottom_two,3,1,12,Chuck Wicks
8,professional_bottom_two,4,2,11,Denise Richards;David Alan Grier
8,professional_bottom_two,5,1,9,Holly Madison
8,professional_bottom_two,6,1,8,Lawrence Taylor
8,professional_bottom_two,7,1,7,Lil' Kim
8,professional_bottom_two,8,1,6,Melissa Rycroft
8,professional_bottom_two,9,1,5,Gilles Marini
8,professional_bottom_two,10,1,4,Steve Wozniak
8,professional_bottom_two,11,0,3,
