season,method,week,m,active_count,elim_pred
13,professional_bottom_two,1,1,12,Carson Kressley
13,professional_bottom_two,2,1,11,Chynna Phillips
13,professional_bottom_two,3,1,10,Chaz Bono
13,professional_bottom_two,4,1,9,Elisabetta Canalis
13,professional_bottom_two,5,1,8,Hope Solo
13,professional_bottom_two,6,1,7,David Arquette
13,professional_bottom_two,7,1,6,Kristin Cavallari
13,professional_bottom_two,8,1,5,Metta World Peace (Ron)
13,professional_bottom_two,9,1,4,Nancy Grace
13,professional_bottom_two,10,0,3,
