season,method,week,m,active_count,elim_pred
30,professional_bottom_two,1,0,15,
30,professional_bottom_two,2,1,15,Brian Austin Green
30,professional_bottom_two,3,1,14,Christine Chiu
30,professional_bottom_two,4,2,13,Cody Rigsby;Iman Shumpert
30,professional_bottom_two,5,1,11,Jimmie Allen
30,professional_bottom_two,6,1,10,Amanda Kloots
30,professional_bottom_two,7,1,9,Kenya Moore
30,professional_bottom_two,8,2,8,Martin Kove;Matt James
30,professional_bottom_two,9,2,6,Melanie C;Melora Hardin
30,professional_bottom_two,10,0,4,
