season,method,week,m,active_count,elim_pred
28,professional_bottom_two,1,0,12,
28,professional_bottom_two,2,1,12,Ally Brooke
28,professional_bottom_two,3,0,11,
28,professional_bottom_two,4,1,11,James Van Der Beek
28,professional_bottom_two,5,0,10,
28,professional_bottom_two,6,1,10,Karamo Brown
28,professional_bottom_two,7,1,9,Kate Flannery
28,professional_bottom_two,8,1,8,Kel Mitchell
28,professional_bottom_two,9,1,7,Lamar Odom
28,professional_bottom_two,10,1,6,Hannah Brown
28,professional_bottom_two,11,0,5,
