season,method,week,m,active_count,elim_pred
9,professional_bottom_two,1,2,16,Ashley Hamiliton;Chuck Liddell
9,professional_bottom_two,2,1,14,Debi Mazar
9,professional_bottom_two,3,1,13,Aaron Carter
9,professional_bottom_two,4,1,12,Joanna Krupa
9,professional_bottom_two,5,1,11,Kathy Ireland
9,professional_bottom_two,6,2,10,Kelly Osbourne;Louie Vito
9,professional_bottom_two,7,2,8,Macy Gray;Mark Dacascos
9,professional_bottom_two,8,1,6,Melissa Joan Hart
9,professional_bottom_two,9,1,5,Michael Irvin
9,professional_bottom_two,10,0,4,
