season,method,week,m,active_count,elim_pred
17,professional_bottom_two,1,0,12,
17,professional_bottom_two,2,1,12,Bill Engvall
17,professional_bottom_two,3,1,11,Bill Nye
17,professional_bottom_two,4,1,10,Brant Daugherty
17,professional_bottom_two,5,1,9,Christina Milian
17,professional_bottom_two,6,0,8,
17,professional_bottom_two,7,1,8,Amber Riley
17,professional_bottom_two,8,1,7,Elizabeth Berkley Lauren
17,professional_bottom_two,9,1,6,Jack Osbourne
17,professional_bottom_two,10,1,5,Keyshawn Johnson
17,professional_bottom_two,11,1,4,Leah Remini
