lambda,entropy,n_weeks,mean_entropy,median_entropy,mean_norm_entropy,mean_variance,mean_kl_qJ,mean_xi
100.0,0.0,11,4.6264600758424566,4.738686353434298,0.8715493388526475,1.7290958393941796e-05,1.375695243388526,2.304193060283862e-06
100.0,0.1,11,5.332762072205152,5.527214987849633,0.9950147506539146,2.8305450741445344e-06,0.5560769655784135,2.3063921400346237e-08
100.0,1.0,11,5.3375912145085955,5.531028096700639,0.9959148529390038,2.567411164686965e-06,0.5333574357298319,2.6568871306824596e-07
100.0,10.0,11,5.337814904815328,5.531095094416534,0.9959575209593989,2.5513199054191692e-06,0.52948611720251,9.262816276897763e-07
1000.0,0.0,11,4.629624133103702,4.742520936531926,0.8720948664426388,1.724570541973934e-05,1.3726209008131351,3.0351250996663897e-07
1000.0,0.1,11,5.332762072914989,5.52721498885343,0.9950147507836415,2.830545046058026e-06,0.5560769644573099,2.306376460249708e-08
1000.0,1.0,11,5.337591213687952,5.531028096194378,0.9959148527820861,2.5674112232889927e-06,0.5333574462057331,2.656651209145286e-07
1000.0,10.0,11,5.337814904806524,5.5310950944314765,0.9959575209574786,2.5513199070367662e-06,0.529486123033503,9.26248936394175e-07
10000.0,0.0,11,4.626074119112543,4.73849756432165,0.871476556820337,1.7300122702703975e-05,1.375965131003044,8.012320182771905e-07
10000.0,0.1,11,5.332762079125977,5.527214997028521,0.9950147519285756,2.8305447735013105e-06,0.5560769458523087,2.3062309219487916e-08
10000.0,1.0,11,5.337591205785118,5.531028090663252,0.9959148512779245,2.567411772914591e-06,0.5333575135085652,2.654515924111078e-07
10000.0,10.0,11,5.337814904723314,5.5310950944822075,0.9959575209394868,2.551319922575755e-06,0.5294861607186983,9.25905334435126e-07
